Microsoft Access MUI (English) 2016, ,16.0.4266.1001, ,Microsoft Corporation
Microsoft Excel MUI (English) 2016, ,16.0.4266.1001, ,Microsoft Corporation
Microsoft PowerPoint MUI (English) 2016, ,16.0.4266.1001, ,Microsoft Corporation
Microsoft Publisher MUI (English) 2016, ,16.0.4266.1001, ,Microsoft Corporation
Microsoft Outlook MUI (English) 2016, ,16.0.4266.1001, ,Microsoft Corporation
Microsoft Word MUI (English) 2016, ,16.0.4266.1001, ,Microsoft Corporation
Microsoft Office Proofing Tools 2016 - English, ,16.0.4266.1001, ,Microsoft Corporation
Outils de vérification linguistique 2016 de Microsoft Office - Français, ,16.0.4266.1001, ,Microsoft Corporation
Herramientas de corrección de Microsoft Office 2016: español, ,16.0.4266.1001, ,Microsoft Corporation
Microsoft Office Proofing (English) 2016, ,16.0.4266.1001, ,Microsoft Corporation
Microsoft InfoPath MUI (English) 2016, ,16.0.4266.1001, ,Microsoft Corporation
Microsoft Office Shared MUI (English) 2016, ,16.0.4266.1001, ,Microsoft Corporation
Microsoft DCF MUI (English) 2016, ,16.0.4266.1001, ,Microsoft Corporation
Microsoft OneNote MUI (English) 2016, ,16.0.4266.1001, ,Microsoft Corporation
Microsoft Groove MUI (English) 2016, ,16.0.4266.1001, ,Microsoft Corporation
Microsoft Office 32-bit Components 2016, ,16.0.4266.1001, ,Microsoft Corporation
Microsoft Office Shared 32-bit MUI (English) 2016, ,16.0.4266.1001, ,Microsoft Corporation
Microsoft Office OSM MUI (English) 2016, ,16.0.4266.1001, ,Microsoft Corporation
Microsoft Office OSM UX MUI (English) 2016, ,16.0.4266.1001, ,Microsoft Corporation
Microsoft Office Shared Setup Metadata MUI (English) 2016, ,16.0.4266.1001, ,Microsoft Corporation
Microsoft Access Setup Metadata MUI (English) 2016, ,16.0.4266.1001, ,Microsoft Corporation
Microsoft Skype for Business MUI (English) 2016, ,16.0.4266.1001, ,Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4048 False, ,9.0.30729.4048, ,Microsoft Corporation
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005 False, ,12.0.21005, ,Microsoft Corporation
Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.50727 False, ,11.0.50727, ,Microsoft Corporation
Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005 False, ,12.0.21005, ,Microsoft Corporation
Microsoft Visual C++ 2005 Redistributable - x64 8.0.51011 False, ,8.0.51011, ,Microsoft Corporation
Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40649 False, ,12.0.40649, ,Microsoft Corporation
Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.50727 False, ,11.0.50727, ,Microsoft Corporation
Microsoft Visual C++ 2005 Redistributable - x64 8.0.61000, ,8.0.61000, ,Microsoft Corporation
Python 3.11.5 Add to Path (64-bit), ,3.11.5150.0, ,Python Software Foundation
Microsoft Visual C++ 2005 Redistributable - x64 8.0.50727.4053 False, ,8.0.50727.4053, ,Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x64 9.0.21022.218 False, ,9.0.21022.218, ,Microsoft Corporation
Update for Windows 10 for x64-based Systems (KB5001716), ,8.92.0.0, ,Microsoft Corporation
Python 3.11.5 Core Interpreter (64-bit), ,3.11.5150.0, ,Python Software Foundation
Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40660 False, ,12.0.40660, ,Microsoft Corporation
Python 3.11.5 Standard Library (64-bit), ,3.11.5150.0, ,Python Software Foundation
Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030, ,11.0.61030, ,Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x64 9.0.21022.0 False, ,9.0.21022, ,Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30411 False, ,9.0.30411, ,Microsoft Corporation
Microsoft Visual C++ 2010 Redistributable - x64 10.0.30319 False, ,10.0.30319, ,Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148.0 False, ,9.0.30729.4148, ,Microsoft Corporation
Microsoft Visual C++ 2005 Redistributable - x64 8.0.57102 False, ,8.0.57102, ,Microsoft Corporation
Microsoft Visual C++ 2005 Redistributable - x64 8.0.58298 False, ,8.0.58298, ,Microsoft Corporation
Notion 2.0.53, ,2.0.53, ,Notion Labs, Inc
Google Password Manager, ,1.0, ,Google\Chrome
Anki, ,2.1.66, ,undefined
BlueStacks X, ,10.3.20.1002, ,now.gg, Inc.
BlueStacks Services, ,3.0.0, ,now.gg, Inc.
Zalo 23.8.4, ,23.8.4, ,VNG Corp.
f.lux, ,4.124, ,f.lux Software LLC
Python 3.11.5 (64-bit), ,3.11.5150.0, ,Python Software Foundation
Microsoft Visual Studio Code (User), ,1.82.0, ,Microsoft Corporation
